# nnc6 c6D5_2
3.500000000000000000e+01 -4.152026345207921406e-37
3.600000000000000000e+01 -5.080088573954810194e-37
3.700000000000000000e+01 -6.354201517683238792e-37
3.800000000000000000e+01 -6.726116822896890064e-37
3.900000000000000000e+01 -5.425139285609646197e-37
4.000000000000000000e+01 4.527717238189337171e-38
4.100000000000000000e+01 2.001913949287693086e-36
4.200000000000000000e+01 9.708324702549556939e-36
4.300000000000000000e+01 1.928259525495860886e-34
4.400000000000000000e+01 -3.965008028553649076e-35
4.500000000000000000e+01 -2.983534785360654121e-35
4.600000000000000000e+01 -2.976455177060691356e-35
4.700000000000000000e+01 -3.258870381763975703e-35
4.800000000000000000e+01 -3.729591235987058461e-35
4.900000000000000000e+01 -4.365196487603847570e-35
5.000000000000000000e+01 -5.172942115798689776e-35
5.100000000000000000e+01 -6.173207888063699571e-35
5.200000000000000000e+01 -7.395979351568345036e-35
5.300000000000000000e+01 -8.874112067910055124e-35
5.400000000000000000e+01 -1.065448529638505656e-34
5.500000000000000000e+01 -1.278768670805773037e-34
5.600000000000000000e+01 -1.533207611773384214e-34
5.700000000000000000e+01 -1.835892375312469702e-34
5.800000000000000000e+01 -2.194896800854190811e-34
5.900000000000000000e+01 -2.619448574716796535e-34
6.000000000000000000e+01 -3.119984574313821740e-34
6.100000000000000000e+01 -3.708583467591570278e-34
6.200000000000000000e+01 -4.399177478732705542e-34
6.300000000000000000e+01 -5.207312442922174857e-34
6.400000000000000000e+01 -6.150966757783469660e-34
6.500000000000000000e+01 -7.250270093251119101e-34
6.600000000000000000e+01 -8.528070539268989934e-34
6.700000000000000000e+01 -1.001016356937004591e-33
6.800000000000000000e+01 -1.172561590407258776e-33
6.900000000000000000e+01 -1.370711937600526560e-33
7.000000000000000000e+01 -1.599140564310194625e-33
7.100000000000000000e+01 -1.861963259312889448e-33
7.200000000000000000e+01 -2.163787265506897602e-33
7.300000000000000000e+01 -2.509761021243662318e-33
7.400000000000000000e+01 -2.905628682491773350e-33
7.500000000000000000e+01 -3.357789976447551867e-33
7.600000000000000000e+01 -3.873363539579954437e-33
7.700000000000000000e+01 -4.460257010770638596e-33
7.800000000000000000e+01 -5.127241890274086430e-33
7.900000000000000000e+01 -5.884034687327188913e-33
8.000000000000000000e+01 -6.741384138350575324e-33
8.100000000000000000e+01 -7.711165392350930955e-33
8.200000000000000000e+01 -8.806481168273485610e-33
